,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,total_weighted_landing_price
6252,46052402,5721722,5721722,2022-05-20,Bengaluru,124013838,200439188,15495121,1,271.0,0.0,390057,233.37276
6253,16280594,894698,894698,2022-07-09,Delhi,137468326,233382538,15637893,1,63.0,0.0,402916,52.505047
6254,2172904,2172904,2172904,2022-04-01,Bengaluru,112299744,173404673,7280480,1,19.0,0.0,369013,12.0
6255,16696849,1310953,1310953,2022-07-02,Bengaluru,135304251,228371482,11640031,1,19.0,0.0,445675,14.062657
6256,35805445,1455490,1455490,2022-05-10,Mumbai,121219053,196537567,2267494,1,252.0,0.0,160,233.5799
6257,39287193,4937238,4937238,2022-05-07,Delhi,120558777,195239886,18542268,1,198.0,0.0,23726,196.69867
6258,23769706,1572516,1572516,2022-06-10,HR-NCR,129482143,217903685,7651755,1,21.0,0.0,391306,17.0
6259,18831130,3445234,3445234,2022-07-07,HR-NCR,136919999,233099056,1145655,1,70.0,0.0,93,55.860004
6260,32207835,3812211,3812211,2022-06-14,HR-NCR,130568515,220710607,13655674,1,28.0,0.0,333785,20.998926
6261,7535243,7535243,7535243,2022-04-15,HR-NCR,115420408,181753772,18121958,1,189.0,0.0,333764,175.98001
6262,38229507,3879552,3879552,2022-05-05,Delhi,119935199,192677573,4887920,1,49.0,0.0,18546,46.477722
6263,42994647,2663967,2663967,2022-05-14,Bengaluru,122496086,199559102,16959752,1,84.0,0.0,179771,81.183876
6264,39977107,5627152,5627152,2022-05-06,Delhi,120261367,192254945,16808484,1,61.0,0.0,334216,52.799644
6265,38563888,4213933,4213933,2022-05-05,HR-NCR,119945018,193701331,14818791,1,25.0,0.0,19512,24.15
6266,32820546,4424922,4424922,2022-06-17,Bengaluru,131315144,222469690,17146091,1,55.0,0.0,478700,33.0
6267,2855632,2855632,2855632,2022-04-07,HR-NCR,113538768,176511546,3738574,2,185.0,0.0,126482,373.494
6268,14939316,7375841,7375841,2022-04-23,Delhi,117189069,186344763,18682096,1,76.0,0.0,477933,43.128864
6269,15157026,7593551,7593551,2022-04-21,Delhi,116643722,173137744,17704359,1,40.0,0.0,65680,29.997997
6270,27793879,5596689,5596689,2022-06-08,Delhi,129117506,217129625,2664099,1,34.0,0.0,482101,34.000004
6271,44530611,4199931,4199931,2022-05-21,HR-NCR,124216477,204570368,2960023,1,175.0,0.0,18783,157.65897
6272,39963144,5613189,5613189,2022-05-06,Delhi,120335668,194660195,6092275,1,52.0,0.0,159,47.632
6273,44576679,4245999,4245999,2022-05-21,HR-NCR,124134114,204273147,17249207,1,32.0,0.0,445675,22.5
6274,1095878,1095878,1095878,2022-04-03,Mumbai,112690406,174517428,18308020,1,23.0,0.0,19469,21.36707
6275,4089095,4089095,4089095,2022-04-04,Bengaluru,112987095,175249619,12243313,1,115.0,0.0,439935,103.063896
6276,27600343,5403153,5403153,2022-06-09,Delhi,129226012,217412166,17272700,2,62.0,0.0,352443,102.0
6277,42627427,2296747,2296747,2022-05-14,Mumbai,122245324,191718350,1994717,1,30.0,0.0,166849,21.974026
6278,24115190,1918000,1918000,2022-06-07,Delhi,128817836,216376705,404596,1,50.0,0.0,25279,39.90051
6279,17837144,2451248,2451248,2022-07-09,Delhi,137299160,230831307,16900442,3,20.0,0.0,14795,24.0
